SKU,Thickness,Dimension,Weight (kg),Status
MRC-MR-0579,2mm,32 x 52 Inch,2.684,Found
MRC-MR-0530,2mm,24 x 48 Inch,1.858,Found
MRC-MR-0765,2mm,46 x 64 Inch,4.748,Found
MRC-MR-0534,2mm,28 x 44 Inch,1.987,Found
MRC-MR-0064,1mm,32 x 52 Inch,1.342,Found
MRC-MR-0645,2mm,36 x 48 Inch,2.787,Found
MRC-MR-0044,1mm,31 x 49 Inch,1.225,Found
MRC-MR-0122,1mm,35 x 58 Inch,1.637,Found
MRC-MR-0143,1mm,36 x 66 Inch,1.916,Found
MRC-MR-0658,2mm,36 x 66 Inch,3.832,Found
MRC-MR-0295,1.5mm,30 x 59 Inch,2.141,Found
MRC-MR-0015,1mm,24 x 48 Inch,0.929,Found
MRC-MR-0640,2mm,35 x 68 Inch,3.839,Found
MRC-MR-0401,1.5mm,36 x 66 Inch,2.874,Found
SUMMARY: 14 Total SKUs,14 Found,0 Not Found,100.0% Match Rate,Summary
